SCO class/object property;Class/Object Property;UFO upper-level class in SCO;Sortality;Targer COSy class/objectproperty;UFO upper-level class in COSy;Sortality;Alignment ;Comments to the alignment;Alignment justification;
concretizes;Object Property;;;--;;;No Correspondence;;COSy does not deal with information content entites and related bearers.;
is endurant part of;Object Property;;;--;;;No Correspondence;;This object property was conceived to expand the gUFO model of parthood. See SCO-U. ;
generically depends on;Object Property;;;--;;;No Correspondence;;COSy does not deal with information content entites and related bearers.;
represents;Object Property;;;--;;;No Correspondence;;COSy does not deal with information content entites and related bearers.;
is about;Object Property;;;--;;;No Correspondence;;COSy does not deal with information content entites and related bearers.;
occupies spatial region;Object Property;;;--;;;No Correspondence;;COSy does not deal with spatial region.;
spatially disjoint from;Object Property;;;--;;;No Correspondence;;COSy does not deal with spatial region.;
system;Class;Object;Kind;System;Functional Complex;Category;Overlapping;Mapped through a new class;"Both SCO and COSy interpret systems with respect to related components. Nevertheless, SCO adopts a generalist and neutral approach where a system is as such independently from the functions and roles played by its components, while COSy requires this grounding. The two ontologies also diverge in terms of type instantiation; the first sees system as a gUFO sortal while the second sees it as a gUFO non-sortal. We created an ad hoc class for functional systems (systems where components play different functional roles). It is a subclass of both the SCO “system” class and COSy “system” and instantiates the gUFO “role” class and COSy “system type” classes. The same approach has been applied to the SCO “system component” class and COSy “Component”, creating an ad hoc class for functional system components (components that are part of a functional system and play different functional roles). Subclass mapping has been addressed in the same manner in both cases, adjusting subsumption and instantiation to adequate gUFO classes.";
complex system;Class;Object;SubKind;System;Object;Category;Overlapping;Mapped through a new class;"Both SCO and COSy interpret systems with respect to related components. Nevertheless, SCO adopts a generalist and neutral approach where a system is as such independently from the functions and roles played by its components, while COSy requires this grounding. The two ontologies also diverge in terms of type instantiation; the first sees system as a gUFO sortal while the second sees it as a gUFO non-sortal. We created an ad hoc class for functional systems (systems where components play different functional roles). It is a subclass of both the SCO “system” class and COSy “system” and instantiates the gUFO “role” class and COSy “system type” classes. The same approach has been applied to the SCO “system component” class and COSy “Component”, creating an ad hoc class for functional system components (components that are part of a functional system and play different functional roles). Subclass mapping has been addressed in the same manner in both cases, adjusting subsumption and instantiation to adequate gUFO classes.";
system component;Class;Object;Category;Component;Object;Mixin;Overlapping;Mapped through a new class;"Both SCO and COSy interpret systems with respect to related components. Nevertheless, SCO adopts a generalist and neutral approach where a system is as such independently from the functions and roles played by its components, while COSy requires this grounding. The two ontologies also diverge in terms of type instantiation; the first sees system as a gUFO sortal while the second sees it as a gUFO non-sortal. We created an ad hoc class for functional systems (systems where components play different functional roles). It is a subclass of both the SCO “system” class and COSy “system” and instantiates the gUFO “role” class and COSy “system type” classes. The same approach has been applied to the SCO “system component” class and COSy “Component”, creating an ad hoc class for functional system components (components that are part of a functional system and play different functional roles). Subclass mapping has been addressed in the same manner in both cases, adjusting subsumption and instantiation to adequate gUFO classes.Further subclasses are indirectly mapped through these upper-level classes.";
complex system component;Class;Object;Category;Component;Object;Mixin;Overlapping;Mapped through a new class;"Both SCO and COSy interpret systems with respect to related components. Nevertheless, SCO adopts a generalist and neutral approach where a system is as such independently from the functions and roles played by its components, while COSy requires this grounding. The two ontologies also diverge in terms of type instantiation; the first sees system as a gUFO sortal while the second sees it as a gUFO non-sortal. We created an ad hoc class for functional systems (systems where components play different functional roles). It is a subclass of both the SCO “system” class and COSy “system” and instantiates the gUFO “role” class and COSy “system type” classes. The same approach has been applied to the SCO “system component” class and COSy “Component”, creating an ad hoc class for functional system components (components that are part of a functional system and play different functional roles). Subclass mapping has been addressed in the same manner in both cases, adjusting subsumption and instantiation to adequate gUFO classes. Further subclasses are indirectly mapped through these upper-level classes.";
complex system agent;Class;Object;RoleMixin;Component;Object;Mixin;Overlapping;Mapped through a new class;"Both SCO and COSy interpret systems with respect to related components. Nevertheless, SCO adopts a generalist and neutral approach where a system is as such independently from the functions and roles played by its components, while COSy requires this grounding. The two ontologies also diverge in terms of type instantiation; the first sees system as a gUFO sortal while the second sees it as a gUFO non-sortal. We created an ad hoc class for functional systems (systems where components play different functional roles). It is a subclass of both the SCO “system” class and COSy “system” and instantiates the gUFO “role” class and COSy “system type” classes. The same approach has been applied to the SCO “system component” class and COSy “Component”, creating an ad hoc class for functional system components (components that are part of a functional system and play different functional roles). Subclass mapping has been addressed in the same manner in both cases, adjusting subsumption and instantiation to adequate gUFO classes. Further subclasses are indirectly mapped through these upper-level classes.";
system agent;Class;Object;RoleMixin;Component;Object;Mixin;Overlapping;Mapped through a new class;"Both SCO and COSy interpret systems with respect to related components. Nevertheless, SCO adopts a generalist and neutral approach where a system is as such independently from the functions and roles played by its components, while COSy requires this grounding. The two ontologies also diverge in terms of type instantiation; the first sees system as a gUFO sortal while the second sees it as a gUFO non-sortal. We created an ad hoc class for functional systems (systems where components play different functional roles). It is a subclass of both the SCO “system” class and COSy “system” and instantiates the gUFO “role” class and COSy “system type” classes. The same approach has been applied to the SCO “system component” class and COSy “Component”, creating an ad hoc class for functional system components (components that are part of a functional system and play different functional roles). Subclass mapping has been addressed in the same manner in both cases, adjusting subsumption and instantiation to adequate gUFO classes. Further subclasses are indirectly mapped through these upper-level classes.";
complex system boundary;Class;Object;SubKind;--;;;No Correspondence;;COSy does not deal with boundaries.;
system boundary;Class;Object;Kind;--;;;No Correspondence;;COSy does not deal with boundaries.;
system environment;Class;Object;Kind;--;;;No Correspondence;;"With respect to UFO model, SCO-U interprets system environment as objects; instead, COSy interprets them as situations. There is not a direct mapping that can be supported here. ";
complex system environment;Class;Object;SubKind;--;;;No Correspondence;;"With respect to UFO model, SCO-U interprets system environment as objects; instead, COSy interprets them as situations. There is not a direct mapping that can be supported here. ";
system environment component;Class;Object ;Category;ExternalEntity;Object;RoleMixin;Superclass;;"SCO treats system environment components in the same manner as system components, but with respect to system environments. COSy, instead, interprets external entities as objects outside the system that interact with the system at a given moment. Thus, we mapped the COSY “externalEntity” class as a subclass of SCO “system environment component” and created an ad hoc class for complex system environment components following the COSY approach. Further subclasses are indirectly mapped through these upper-level classes.	";
complex system environment component;Class;Object ;Category;ExternalEntity;Object;RoleMixin;Overlapping;Mapped through a new class;" SCO treats system environment components in the same manner as system components, but with respect to system environments. COSy, instead, interprets external entities as objects outside the system that interact with the system at a given moment. Thus, we mapped the COSY “externalEntity” class as a subclass of SCO “system environment component” and created an ad hoc class for complex system environment components following the COSY approach. Further subclasses are indirectly mapped through these upper-level classes.	";
complex system environment agent;Class;Object ;PhaseMixin;ExternalEntity;Object;RoleMixin;Overlapping;Indirectly mapped through mapping upper-level classes.;"SCO treats system environment components in the same manner as system components, but with respect to system environments. COSy, instead, interprets external entities as objects outside the system that interact with the system at a given moment. Thus, we mapped the COSY “externalEntity” class as a subclass of SCO “system environment component” and created an ad hoc class for complex system environment components following the COSY approach. Further subclasses are indirectly mapped through these upper-level classes.	";
system environnement agent;Class;Object ;PhaseMixin;ExternalEntity;Object;RoleMixin;Overlapping;Indirectly mapped throughmapping upper-level classes.;"SCO treats system environment components in the same manner as system components, but with respect to system environments. COSy, instead, interprets external entities as objects outside the system that interact with the system at a given moment. Thus, we mapped the COSY “externalEntity” class as a subclass of SCO “system environment component” and created an ad hoc class for complex system environment components following the COSY approach. Further subclasses are indirectly mapped through these upper-level classes.	";
complex system development;Class;Event;Event;--;;;No Correspondence;;System development classes in SCO-U are tentative, requiring development. COSy does not deal with boundaries.;
system development;Class;Event;Event;--;;;No Correspondence;;System development classes in SCO-U are tentative, requiring development. COSy does not deal with boundaries.;
emergence;Class;Aspect;SubKind;SystemAspect;Aspect;Category;Subclass;The focus is on aspects of systems, whatever the systems are. So, we can map these classes without dealing with the fact that SCO and COSy diverge over functional roles of compoents.;The SCO class “complex system property is meant as a grouping class for properties concerning complex systems. Thus, it can be mapped as a subclass of COSy “SystemAspect” that refers generally to aspects inheriting in systems. Related subclasses follow the mapping as subclass.;
self-organization;Class;Aspect;SubKind;SystemAspect;Aspect;Category;Subclass;The focus is on aspects of systems, whatever the systems are. So, we can map  these classes without dealing with the fact that SCO and COSy diverge over functional roles of compoents.;The SCO class “complex system property is meant as a grouping class for properties concerning complex systems. Thus, it can be mapped as a subclass of COSy “SystemAspect” that refers generally to aspects inheriting in systems. Related subclasses follow the mapping as subclass.;
complex system property;Class;Aspect;Kind;SystemAspect;Aspect;Category;Subclass;The focus is on aspects of systems, whatever the systems are. So, we can map these classes without dealing with the fact that SCO and COSy diverge over functional roles of compoents.;The SCO class “complex system property is meant as a grouping class for properties concerning complex systems. Thus, it can be mapped as a subclass of COSy “SystemAspect” that refers generally to aspects inheriting in systems. Related subclasses follow the mapping as subclass.;
perspective;Class;Aspect;Kind;ComponentDisposition;Aspect;Category;Overlapping;Mapped througha new class.;The SCO “perspective” class refers to dispositions that inherits in complex system components and related environment components. This class coverage overlaps with that of the COSy “ComponentDisposition” class with respect to the perspectives of complex system components because the COSy class refers to all possible dispositions of system components. We created an ad hoc class for perspectives of system components. It is a subclass of both the SCO “perspective” class and COSy “ComponentDisposition” and instantiates the gUFO “subkind” class.;
disposition to participate in an interaction;Class;Aspect;Kind;ComponentDisposition;Aspect;Category;Overlapping;Mapped througha new class.;We followed the same approach presented for the SCO “perspective” class, n mapping the SCO “disposition to participate in an interaction” and its subclass” disposition to act” to the COSy “ComponentDisposition” class. This is because these classes refer to both system components and system environment components. We created specific classes for dispositions of a system component to participate in an interaction and dispositions to act of a system component. Please, refer to the perspective mapping, adjusting subsumption and instantiation to adequate gUFO classes.;
disposition to act;Class;Aspect;SubKind;ComponentDisposition;Aspect;Category;Overlapping;Mapped througha new class.;We followed the same approach presented for the SCO “perspective” class, n mapping the SCO “disposition to participate in an interaction” and its subclass” disposition to act” to the COSy “ComponentDisposition” class. This is because these classes refer to both system components and system environment components. We created specific classes for dispositions of a system component to participate in an interaction and dispositions to act of a system component. Please, refer to the perspective mapping, adjusting subsumption and instantiation to adequate gUFO classes.;
system history;Class;Event;Event;SystemBehavior;Event;Event;Equivalence;The focus is on history of systems, whatever the systems are. So, we can map these classes without dealing with the fact that SCO and COSy diverge over functional roles of components.;SCO “system history” class refers to the sum of the totality of events pertaining to a system across time and space. This is captured by the COSy class “SystemBehavior”. Thus, these classes are mapped as equivalent.;
complex system history;Class;Event;Event;SystemBehavior;Event;Event;Subclass;The focus is on history of systems, whatever the systems are. So, we can map directly these classes without dealing with the fact that SCO and COSy diverge over functional roles of compoents.;SCO “system history” class refers to the sum of the totality of events pertaining to a system across time and space. This is captured by the COSy class “SystemBehavior”. Thus, these classes are mapped as equivalent.;
interaction;Class;Event;Event;DISC-O:Interaction;Event;Event;Subclass;The focus is on system interactions, whatever the systems are. So, we can map  these classes without dealing with the fact that SCO and COSy diverge over functional roles of components.;SCO “interaction” class refers to events where participants have a causative effect on one another. It is a complete class with respect to interactions involving system and system environment components. Disc-O “interaction” class presents the same coverage, without being a complete class with respect to component interaction. Thus, the first is a subclass of the latter.;
interaction among system environment components;Class;Event;Event;--;;;No Correspondence;;SCO “interaction” class refers to events where participants have a causative effect on one another. It is a complete class with respect to interactions involving system and system environment components. Disc-O “interaction” class presents the same coverage, without being a complete class with respect to component interaction. Thus, the first is a subclass of the latter. COSy includes a subclass for interactions among system components (ComponentInternalInteraction) and a subclass between system component and external entity (ComponentExternalInteraction). Those classes are equivalent to the two SCO “interaction” subclasses “interaction among system components” and “interaction between system components and system environment component”. Instead, no further mapping over that the subsumption subsists for the SCO “interaction among system environment components” as COSy does not cover a specific class for these interactions.;
interaction between system components and system environment components;Class;Event;Event;ComponentExternalInteraction;Event;Event;Equivalence;The focus is on system interactions, whatever the systems are. So, we can map  these classes without dealing with the fact that SCO and COSy diverge over functional roles of components.;SCO “interaction” class refers to events where participants have a causative effect on one another. It is a complete class with respect to interactions involving system and system environment components. Disc-O “interaction” class presents the same coverage, without being a complete class with respect to component interaction. Thus, the first is a subclass of the latter. COSy includes a subclass for interactions among system components (ComponentInternalInteraction) and a subclass between system component and external entity (ComponentExternalInteraction). Those classes are equivalent to the two SCO “interaction” subclasses “interaction among system components” and “interaction between system components and system environment component”. Instead, no further mapping over that the subsumption subsists for the SCO “interaction among system environment components” as COSy does not cover a specific class for these interactions.;
interaction among system components;Class;Event;Event;ComponentInternalInteraction;Event;Event;Equivalence;The focus is on system interactions, whatever the systems are. So, we can map  these classes without dealing with the fact that SCO and COSy diverge over functional roles of components.;SCO “interaction” class refers to events where participants have a causative effect on one another. It is a complete class with respect to interactions involving system and system environment components. Disc-O “interaction” class presents the same coverage, without being a complete class with respect to component interaction. Thus, the first is a subclass of the latter. COSy includes a subclass for interactions among system components (ComponentInternalInteraction) and a subclass between system component and external entity (ComponentExternalInteraction). Those classes are equivalent to the two SCO “interaction” subclasses “interaction among system components” and “interaction between system components and system environment component”. Instead, no further mapping over that the subsumption subsists for the SCO “interaction among system environment components” as COSy does not cover a specific class for these interactions.;
interaction among complex system components;Class;Event;Event;ComponentInternalInteraction;Event;Event;Subclass;Indirectly mapped through mapping upper-level classes. The focus is on system interactions, whatever the systems are. So, we can map  these classes without dealing with the fact that SCO and COSy diverge over functional roles of components.;SCO “interaction” class refers to events where participants have a causative effect on one another. It is a complete class with respect to interactions involving system and system environment components. Disc-O “interaction” class presents the same coverage, without being a complete class with respect to component interaction. Thus, the first is a subclass of the latter. COSy includes a subclass for interactions among system components (ComponentInternalInteraction) and a subclass between system component and external entity (ComponentExternalInteraction). Those classes are equivalent to the two SCO “interaction” subclasses “interaction among system components” and “interaction between system components and system environment component”. Instead, no further mapping over that the subsumption subsists for the SCO “interaction among system environment components” as COSy does not cover a specific class for these interactions.;
interaction among complex system environment components;Class;Event;Event;--;;;No Correspondence;;SCO “interaction” class refers to events where participants have a causative effect on one another. It is a complete class with respect to interactions involving system and system environment components. Disc-O “interaction” class presents the same coverage, without being a complete class with respect to component interaction. Thus, the first is a subclass of the latter. COSy includes a subclass for interactions among system components (ComponentInternalInteraction) and a subclass between system component and external entity (ComponentExternalInteraction). Those classes are equivalent to the two SCO “interaction” subclasses “interaction among system components” and “interaction between system components and system environment component”. Instead, no further mapping over that the subsumption subsists for the SCO “interaction among system environment components” as COSy does not cover a specific class for these interactions.;
interaction between complex system components and complex system environment components;Class;Event;Event;ComponentExternalInteraction;Event;Event;Subclass;Indirectly mapped trhough mapping upper-level classes. The focus is on system interactions, whatever the systems are. So, we can map  these classes without dealing with the fact that SCO and COSy diverge over functional roles of components.;SCO “interaction” class refers to events where participants have a causative effect on one another. It is a complete class with respect to interactions involving system and system environment components. Disc-O “interaction” class presents the same coverage, without being a complete class with respect to component interaction. Thus, the first is a subclass of the latter. COSy includes a subclass for interactions among system components (ComponentInternalInteraction) and a subclass between system component and external entity (ComponentExternalInteraction). Those classes are equivalent to the two SCO “interaction” subclasses “interaction among system components” and “interaction between system components and system environment component”. Instead, no further mapping over that the subsumption subsists for the SCO “interaction among system environment components” as COSy does not cover a specific class for these interactions.;
